epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,30187,0.29449,0.48085,0.49051,0.88409,0,0.98321,0.98481,0.98579,0.97918,0.98117,0.98275,0.9824,0.97923,0.10275,0.21763,0.12133,0.75773,0,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034
66,30479.2,0.29454,0.49286,0.48341,0.88297,0,0.98134,0.98525,0.98547,0.97849,0.97932,0.98319,0.98185,0.97784,0.10283,0.21816,0.12149,0.75572,0,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
67,30771.6,0.29318,0.47567,0.46743,0.87995,0,0.98173,0.98421,0.98398,0.97728,0.97971,0.98215,0.98072,0.97778,0.10239,0.23169,0.12356,0.75284,0,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
68,31065.1,0.29421,0.48851,0.48057,0.88417,0,0.98131,0.98502,0.98512,0.97853,0.97929,0.98296,0.98281,0.97969,0.10317,0.22974,0.11959,0.7568,0,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551
69,31358.6,0.29053,0.47184,0.47185,0.88187,0,0.97882,0.98598,0.9843,0.97762,0.97681,0.98392,0.98179,0.97788,0.1015,0.22578,0.12024,0.75598,0,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311
70,31665.2,0.28964,0.4681,0.46861,0.8824,0,0.97745,0.98454,0.98585,0.97963,0.97535,0.98254,0.98223,0.97927,0.1011,0.22511,0.11804,0.75533,0,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
71,31979.6,0.28603,0.46367,0.46168,0.87829,0,0.97677,0.98551,0.98588,0.97952,0.97477,0.98345,0.98248,0.97965,0.09894,0.22145,0.11986,0.75267,0,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
72,32292.6,0.29082,0.47474,0.46148,0.88146,0,0.98365,0.98123,0.98445,0.97806,0.98163,0.97918,0.98083,0.97781,0.09879,0.21992,0.11882,0.75313,0,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421
73,32604.5,0.2869,0.46714,0.45579,0.88151,0,0.98116,0.98518,0.9829,0.97647,0.97914,0.98313,0.97904,0.97588,0.09992,0.2195,0.1196,0.75326,0,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
74,32915.4,0.2875,0.46882,0.456,0.8821,0,0.97537,0.98494,0.98214,0.97529,0.97338,0.98288,0.97828,0.97428,0.09846,0.22146,0.12186,0.75302,0,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728
