epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
55,6598.26,0.27805,0.45208,0.474,0.87902,0,0.97129,0.98616,0.98615,0.97686,0.9693,0.9841,0.98284,0.97619,0.12682,0.23224,0.15157,0.77315,0,0.000100179,0.000100179,0.000100179
56,6716.3,0.27056,0.4276,0.46503,0.87782,0,0.9764,0.98416,0.98705,0.97669,0.97433,0.98223,0.98319,0.97745,0.13272,0.22823,0.14979,0.77129,0,9.7973e-05,9.7973e-05,9.7973e-05
57,6836.21,0.28399,0.44323,0.47602,0.87933,0,0.97551,0.98435,0.98596,0.97713,0.97356,0.9823,0.98305,0.97849,0.12915,0.22337,0.14508,0.77034,0,9.57596e-05,9.57596e-05,9.57596e-05
58,6956.53,0.26939,0.43205,0.46671,0.87263,0,0.97953,0.98449,0.98508,0.97691,0.97753,0.98243,0.98168,0.9769,0.11841,0.21388,0.14377,0.76831,0,9.354e-05,9.354e-05,9.354e-05
59,7076.63,0.28004,0.44528,0.46603,0.88045,0,0.97537,0.97951,0.98532,0.975,0.97326,0.97756,0.98238,0.97655,0.12557,0.22637,0.14417,0.77037,0,9.13159e-05,9.13159e-05,9.13159e-05
60,7196.52,0.27616,0.44153,0.45665,0.88159,0,0.97591,0.98442,0.98581,0.97656,0.97391,0.98242,0.98309,0.97685,0.12382,0.2281,0.14172,0.77087,0,8.90887e-05,8.90887e-05,8.90887e-05
61,7314.83,0.27319,0.43548,0.4622,0.87648,0,0.97498,0.98454,0.98444,0.9752,0.97302,0.98248,0.98218,0.97779,0.12442,0.22316,0.15127,0.77138,0,8.686e-05,8.686e-05,8.686e-05
62,7435.08,0.26932,0.44194,0.46432,0.87614,0,0.97279,0.98412,0.98527,0.97672,0.9707,0.98214,0.98141,0.97734,0.12395,0.21764,0.15055,0.7729,0,8.46313e-05,8.46313e-05,8.46313e-05
63,7554.61,0.26996,0.43315,0.44241,0.87749,0,0.97836,0.98028,0.98606,0.9751,0.97636,0.97823,0.98312,0.97753,0.12659,0.22631,0.14426,0.7742,0,8.24041e-05,8.24041e-05,8.24041e-05
64,7674.36,0.26477,0.41964,0.44903,0.87891,0,0.98055,0.98497,0.98509,0.97746,0.97854,0.98291,0.98215,0.97801,0.11933,0.21811,0.13513,0.76939,0,8.018e-05,8.018e-05,8.018e-05
65,7793.88,0.26473,0.41831,0.42409,0.87124,0,0.98091,0.98478,0.98525,0.97589,0.97889,0.98272,0.98163,0.9763,0.12177,0.23376,0.14369,0.77158,0,7.79604e-05,7.79604e-05,7.79604e-05
66,7911.71,0.26801,0.41785,0.43644,0.87877,0,0.97236,0.97632,0.98437,0.97593,0.97038,0.97426,0.98098,0.97442,0.12172,0.23609,0.15492,0.77228,0,7.5747e-05,7.5747e-05,7.5747e-05
67,8031.41,0.2613,0.41386,0.42856,0.87183,0,0.98118,0.98467,0.98417,0.97528,0.97916,0.98261,0.98146,0.97598,0.12214,0.23419,0.13707,0.77035,0,7.35412e-05,7.35412e-05,7.35412e-05
68,8151.13,0.26263,0.41099,0.42206,0.87699,0,0.97383,0.98161,0.98596,0.97811,0.972,0.97955,0.98279,0.97825,0.11725,0.22419,0.14142,0.76828,0,7.13445e-05,7.13445e-05,7.13445e-05
69,8270.96,0.26922,0.43546,0.4336,0.87515,0,0.98026,0.98298,0.98421,0.97609,0.97827,0.98092,0.98127,0.97629,0.11931,0.22217,0.14207,0.76992,0,6.91584e-05,6.91584e-05,6.91584e-05
70,8389.22,0.26246,0.41541,0.4277,0.87358,0,0.97553,0.98343,0.98454,0.9749,0.97353,0.98137,0.98069,0.97612,0.12064,0.22149,0.1438,0.77072,0,6.69845e-05,6.69845e-05,6.69845e-05
71,8508.88,0.2625,0.41563,0.41834,0.87818,0,0.97891,0.98323,0.98356,0.97472,0.97692,0.98117,0.97994,0.97564,0.11885,0.22373,0.14128,0.76685,0,6.48241e-05,6.48241e-05,6.48241e-05
72,8628.81,0.26606,0.45324,0.43562,0.87328,0,0.9765,0.9845,0.98465,0.97594,0.97447,0.98251,0.98103,0.97719,0.11654,0.21545,0.14212,0.76714,0,6.26789e-05,6.26789e-05,6.26789e-05
73,8749.22,0.26027,0.41722,0.41755,0.87783,0,0.97882,0.98534,0.98608,0.97645,0.97672,0.98331,0.98222,0.97838,0.11897,0.22012,0.13879,0.76834,0,6.05503e-05,6.05503e-05,6.05503e-05
74,8868.92,0.25746,0.40458,0.4129,0.87521,0,0.97697,0.98452,0.98602,0.97677,0.97496,0.98246,0.98216,0.97812,0.11905,0.22166,0.14146,0.76954,0,5.84397e-05,5.84397e-05,5.84397e-05
75,8987.09,0.25833,0.38827,0.39587,0.87199,0,0.97809,0.98341,0.9853,0.97648,0.97607,0.98135,0.98145,0.97652,0.11365,0.2242,0.13491,0.76566,0,5.63486e-05,5.63486e-05,5.63486e-05
76,9107.03,0.25831,0.41095,0.4122,0.86494,0,0.97717,0.9834,0.98562,0.9769,0.97518,0.98134,0.982,0.97644,0.11268,0.22875,0.1359,0.76449,0,5.42783e-05,5.42783e-05,5.42783e-05
77,9226.96,0.24889,0.38499,0.40144,0.86616,0,0.97571,0.98179,0.98641,0.97808,0.97366,0.97984,0.98302,0.97914,0.11189,0.22367,0.13925,0.76445,0,5.22304e-05,5.22304e-05,5.22304e-05
78,9347.02,0.25609,0.4078,0.39106,0.87029,0,0.97706,0.97697,0.98588,0.97789,0.97504,0.97497,0.98226,0.97707,0.11119,0.21799,0.14225,0.76285,0,5.02063e-05,5.02063e-05,5.02063e-05
79,9464.96,0.25403,0.39774,0.38595,0.86523,0,0.97993,0.9835,0.98557,0.97857,0.97782,0.98157,0.98218,0.97771,0.10985,0.22213,0.13444,0.76216,0,4.82072e-05,4.82072e-05,4.82072e-05
80,9585.05,0.25238,0.38766,0.38742,0.86628,0,0.97713,0.98461,0.98475,0.97782,0.97512,0.98255,0.98089,0.97684,0.10983,0.22419,0.13946,0.76177,0,4.62347e-05,4.62347e-05,4.62347e-05
81,9705,0.25183,0.38718,0.3978,0.86887,0,0.9754,0.98467,0.98459,0.97727,0.97341,0.98261,0.98073,0.97668,0.10874,0.21672,0.13848,0.76234,0,4.429e-05,4.429e-05,4.429e-05
