epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
59,15406,0.24832,0.40255,0.35177,0.86927,0,0.97833,0.98257,0.98588,0.97943,0.97601,0.97914,0.9831,0.97986,0.09936,0.2231,0.11298,0.75916,0,3.1566e-05,3.1566e-05,3.1566e-05
60,15668.8,0.2473,0.38897,0.35002,0.86477,0,0.97996,0.98016,0.98533,0.97839,0.97752,0.97748,0.98257,0.97921,0.09949,0.22726,0.1145,0.75753,0,2.90669e-05,2.90669e-05,2.90669e-05
61,15930.9,0.24909,0.39275,0.34788,0.86393,0,0.98002,0.97877,0.98544,0.9791,0.97775,0.97604,0.98242,0.97878,0.0992,0.23008,0.11682,0.75693,0,2.66569e-05,2.66569e-05,2.66569e-05
62,16193.5,0.24788,0.39706,0.34403,0.8648,0,0.97836,0.97974,0.9863,0.97939,0.97634,0.97768,0.98313,0.97896,0.09877,0.22599,0.1184,0.75713,0,2.43398e-05,2.43398e-05,2.43398e-05
63,16456.7,0.24541,0.39177,0.34272,0.86162,0,0.97992,0.97955,0.9864,0.97946,0.9779,0.97749,0.98346,0.97962,0.0972,0.22652,0.11062,0.75642,0,2.2119e-05,2.2119e-05,2.2119e-05
64,16719.5,0.25089,0.39635,0.34601,0.86729,0,0.97596,0.97949,0.9859,0.97851,0.97384,0.97563,0.98292,0.97867,0.09643,0.22573,0.11266,0.75621,0,1.99981e-05,1.99981e-05,1.99981e-05
65,16981.9,0.24398,0.39213,0.34279,0.86379,0,0.97829,0.98025,0.98612,0.97865,0.97615,0.97698,0.98246,0.97804,0.09737,0.22702,0.11368,0.75775,0,1.79803e-05,1.79803e-05,1.79803e-05
66,17242.9,0.14396,0.24591,0.13541,0.84011,0,0.97835,0.97882,0.98649,0.98012,0.97551,0.97593,0.98328,0.97983,0.09663,0.23053,0.11145,0.75664,0,1.60687e-05,1.60687e-05,1.60687e-05
67,17503.7,0.14372,0.24074,0.13246,0.83885,0,0.97997,0.97839,0.98504,0.97925,0.97795,0.97634,0.98232,0.97837,0.09623,0.22871,0.11433,0.7551,0,1.42662e-05,1.42662e-05,1.42662e-05
68,17764.5,0.13969,0.23242,0.12816,0.83392,0,0.97928,0.9803,0.98515,0.97929,0.97726,0.97825,0.98243,0.97865,0.09596,0.2287,0.11366,0.75493,0,1.25757e-05,1.25757e-05,1.25757e-05
69,18024.7,0.14334,0.23258,0.12696,0.83962,0,0.97957,0.98193,0.98588,0.97899,0.9771,0.97907,0.98219,0.97843,0.09565,0.22933,0.11675,0.755,0,1.09997e-05,1.09997e-05,1.09997e-05
70,18285,0.14173,0.2403,0.1298,0.83802,0,0.97848,0.98299,0.98565,0.97819,0.97598,0.97995,0.98152,0.97716,0.0954,0.23025,0.11493,0.75524,0,9.54069e-06,9.54069e-06,9.54069e-06
71,18545.9,0.13833,0.2342,0.12354,0.83469,0,0.9777,0.98152,0.98617,0.97938,0.97512,0.9787,0.98204,0.97818,0.09465,0.23099,0.11496,0.75553,0,8.2009e-06,8.2009e-06,8.2009e-06
